year,month,day,PCV,lbs,oz,weight
2011,9,23,22,10,8,10.5
2011,10,5,25,10,11,10.6875
2011,10,17,12.5,10,13.5,10.84375
2011,10,18,9,10,10,10.625
2011,10,21,18,10,10,10.625
2011,11,4,30,11,1,11.0625
2011,11,25,35,10,14,10.875
2011,12,16,29,11,2,11.125
2011,12,28,15,10,14,10.875
2011,12,30,18,10,14,10.875
2012,1,6,23,10,6,10.375
2012,1,23,26,10,5,10.3125
2012,2,10,25,10,4,10.25
2012,2,17,25,10,5,10.3125
2012,3,2,25,10,4,10.25
2012,3,23,24,10,12,10.75
2012,4,20,25,11,14,11.875
2012,5,18,16,12,3,12.1875
2012,6,6,25,12,4,12.25
2012,7,5,27,12,12,12.75
2012,8,2,36,13,13,13.8125
2012,9,7,38,13,2,13.125
2012,10,5,38,12,12,12.75
2012,10,19,34,,,
2012,10,26,36,,,
2012,11,23,35,,,
2012,12,14,34,11,15.5,11.96875
2013,1,4,35,11,12,11.75
2013,2,1,37,11,11,11.6875
2013,2,15,37,11,9,11.5625
2013,3,15,37,,,
2013,4,5,37,12,12,12.75
2013,5,3,35,12,3,12.1875
2013,5,31,35,12,1,12.0625
2013,6,28,30,11,13,11.8125
2013,7,12,31,12,3,12.1875
2013,7,19,30,12,7,12.4375
2013,8,2,34,12,1,12.0625
2013,8,30,32,11,12,11.75
2013,10,25,37,12,2,12.125
2013,11,22,33,12,5,12.3125
2013,12,20,30,12,4,12.25
2014,1,17,34,11,10,11.625
2014,2,21,30,11,10.5,11.65625
2014,3,21,32,11,14,11.875
2014,5,2,28,11,13,11.8125
2014,5,30,28,11.94,11.94,12.68625
2015,1,19,27,11,10,11.625
2015,2,14,35,11,8,11.5
2015,4,17,24,10.94,10.94,11.62375
2015,5,1,22,10.44,10.44,11.0925
